RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
173,0,30925,Dustin Johnson,116,20
175,0,27330,Josh Teater,115,7
176,0,46340,Alex Smalley,114,22
177,0,40026,Daniel Berger,113,3
177,0,60767,Blaine Hale Jr.,113,16
177,0,12716,Charley Hoffman,113,113
177,0,35879,Kelly Kraft,113,43
177,0,33486,Roger Sloan,113,58
177,0,35617,Martin Trainer,113,95
177,0,25349,Tim Wilkinson,113,35
184,0,37278,Nicholas Lindheim,112,7
185,0,39067,MJ Daffue,111,24
186,0,54576,Patrick Fishburn,109,9
187,0,34362,Laurie Canter,108,108
187,0,24924,Bill Haas,108,5
187,0,34363,Tyrrell Hatton,108,0
190,0,22764,Michael Block,107,0
190,0,24024,Zach Johnson,107,80
192,0,52453,Nicolai HÃ¸jgaard,104,74
192,0,30852,Ryo Ishikawa,104,104
192,0,55955,Matthew Jordan,104,14
192,0,46970,Jon Rahm,104,104
192,0,47347,Adam Schenk,104,6
197,0,34255,Joseph Bramlett,103,11
197,0,47079,Harrison Endycott,103,6
197,0,51950,Max McGreevy,103,0
197,0,48153,Matthieu Pavon,103,6
197,0,48699,Callum Tarren,103,27
202,0,32757,Patton Kizzire,102,12
202,0,36326,David Lipsky,102,46
204,0,20766,Padraig Harrington,101,48
204,0,63807,Neal Shipley,101,5
204,0,30692,Scott Stallings,101,36
207,0,32070,Rafael Campos,100,8
207,0,56149,Wilson Furr,100,1
209,0,23983,Luke Donald,96,7
210,0,37428,Evan Harmeling,95,1
211,0,47959,Bryson DeChambeau,94,32
211,0,39954,Cody Gribble,94,5
211,0,31557,Jim Herman,94,41
211,0,48887,Matt Wallace,94,60
211,0,48319,Tom Whitney,94,0
216,0,25240,D.A. Points,93,10
217,0,37275,Sam Ryder,92,6
218,0,45523,Thriston Lawrence,91,8
218,0,46601,Trey Mullinax,91,91
220,0,33122,Russell Knox,90,90
220,0,33674,Adrian Meronk,90,90
220,0,25198,Francesco Molinari,90,7
220,0,50484,Hayden Springer,90,78
224,0,64690,Omar Morales,88,13
225,0,28593,Jesse Mueller,86,7
225,0,57364,Michael Thorbjornsen,86,8
227,0,49303,Anders Albertson,85,4
228,0,33199,Matteo Manassero,84,8
228,0,63181,Braden Shattuck,84,1
230,0,28259,Sangmoon Bae,83,7
231,0,29478,Kevin Kisner,82,4
231,0,46368,Stuart Macdonald,82,0
231,0,31202,William McGirt,82,55
234,0,35449,Adam Long,81,7
234,0,57586,Jesper Svensson,81,5
236,0,33597,Harry Higgs,80,13
236,0,36689,Brooks Koepka,80,80
238,0,32367,Jorge Campillo,79,33
238,0,27408,Martin Kaymer,79,25
240,0,66743,Luke Clanton,78,5
240,0,56762,Will Gordon,78,26
242,0,37338,Zecheng Dou,77,29
242,0,50823,Tom McKibbin,77,30
242,0,54328,Norman Xiong,77,20
245,0,60369,Sam Bairstow,75,75
245,0,25818,Scott Piercy,75,27
245,0,27770,Camilo Villegas,75,39
248,0,25632,Jimmy Walker,74,30
249,0,29268,Bronson Burgoon,73,15
249,0,24140,Sean O'Hair,73,39
251,0,64052,Angel Ayora,72,72
251,0,51661,Nick Bachem,72,72
251,0,59652,Sam Bennett,72,2
251,0,24358,Robert Garrigus,72,72
251,0,57593,Ian Gilligan,72,72
251,0,46402,Talor Gooch,72,72
251,0,39058,Lucas Herbert,72,72
251,0,59743,Aguri Iwasaki,72,72
