YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
2015,0,25562,Andres Romero,4.08,783,192
2015,0,31323,Gary Woodland,4.08,298,73
2015,0,22371,Aaron Baddeley,4.09,528,129
2015,0,30736,Oscar Fraustro,4.09,442,108
2015,0,35539,Luke Guthrie,4.09,789,193
2015,0,35532,Tom Hoge,4.09,826,202
2015,0,27933,John Merrick,4.09,532,130
2015,0,28023,Byron Smith,4.09,561,137
2015,0,33419,Cameron Tringale,4.09,1089,266
2015,0,24357,K.J. Choi,4.1,598,146
2015,0,27436,Graham DeLaet,4.1,455,111
2015,0,33399,Adam Hadwin,4.1,862,210
2015,0,22046,Geoff Ogilvy,4.1,275,67
2015,0,25349,Tim Wilkinson,4.1,759,185
2015,0,35545,Blayne Barber,4.11,699,170
2015,0,24846,Ricky Barnes,4.11,739,180
2015,0,32200,Roberto Castro,4.11,448,109
2015,0,21753,Brian Davis,4.11,1011,246
2015,0,26951,Johnson Wagner,4.11,946,230
2015,0,26329,Louis Oosthuizen,4.12,490,119
2015,0,34130,Sung Joon Park,4.12,816,198
2015,0,31193,Jim Renner,4.12,758,184
2015,0,10885,Robert Allenby,4.13,726,176
2015,0,20104,Ken Duke,4.13,574,139
2015,0,28307,Matt Every,4.13,653,158
2015,0,24358,Robert Garrigus,4.13,707,171
2015,0,20766,Padraig Harrington,4.13,475,115
2015,0,37454,Whee Kim,4.13,759,184
2015,0,34358,Jonathan Randolph,4.13,702,170
2015,0,20645,John Senden,4.13,396,96
2015,0,28132,Tyrone Van Aswegen,4.13,351,85
2015,0,23623,Bo Van Pelt,4.13,826,200
2015,0,23983,Luke Donald,4.14,708,171
2015,0,23353,J.J. Henry,4.14,728,176
2015,0,10860,Justin Leonard,4.14,580,140
2015,0,22293,Heath Slocum,4.14,518,125
2015,0,32640,Troy Merritt,4.15,854,206
2015,0,34256,Andrew Putnam,4.15,718,173
2015,0,33486,Roger Sloan,4.16,820,197
2015,0,32334,Charlie Beljan,4.22,549,130
2014,0,21961,Charles Howell III,3.92,603,154
2014,0,24502,Adam Scott,3.92,569,145
2014,0,10809,Jim Furyk,3.93,672,171
2014,0,22405,Justin Rose,3.93,539,137
2014,0,25572,Graeme McDowell,3.94,563,143
2014,0,27963,Chris Stroud,3.94,658,167
2014,0,34264,Hudson Swafford,3.94,559,142
2014,0,32150,Michael Thompson,3.94,658,167
2014,0,23623,Bo Van Pelt,3.95,450,114
2014,0,21731,Freddie Jacobson,3.96,729,184
2014,0,34431,Robert Streb,3.96,650,164
2014,0,28089,Jason Day,3.97,429,108
2014,0,27408,Martin Kaymer,3.97,600,151
2014,0,26596,Ryan Moore,3.97,480,121
2014,0,26331,Charl Schwartzel,3.97,405,102
2014,0,29518,Brendan Steele,3.97,751,189
2014,0,34265,Will Wilcox,3.97,298,75
2014,0,33141,Keegan Bradley,3.98,732,184
2014,0,21209,Sergio Garcia,3.98,350,88
2014,0,31560,Brian Stuard,3.98,681,171
2014,0,29425,Andrew Svoboda,3.98,482,121
2014,0,31323,Gary Woodland,3.98,382,96
2014,0,34021,Bud Cauley,3.99,343,86
2014,0,8075,Jerry Kelly,3.99,659,165
2014,0,30944,Jason Kokrak,3.99,379,95
2014,0,34360,Patrick Reed,3.99,954,239
2014,0,29221,Webb Simpson,3.99,822,206
2014,0,22293,Heath Slocum,3.99,427,107
2014,0,34046,Jordan Spieth,3.99,1076,270
2014,0,25804,Bubba Watson,3.99,739,185
2014,0,25349,Tim Wilkinson,3.99,698,175
2014,0,24494,Erik Compton,4.0,1000,250
2014,0,27436,Graham DeLaet,4.0,520,130
2014,0,12716,Charley Hoffman,4.0,644,161
2014,0,23108,Matt Kuchar,4.0,931,233
2014,0,23320,Ryan Palmer,4.0,776,194
2014,0,24361,Pat Perez,4.0,648,162
2014,0,28486,Michael Putnam,4.0,1105,276
2014,0,25632,Jimmy Walker,4.0,948,237
2014,0,35539,Luke Guthrie,4.01,922,230
2014,0,25444,Justin Hicks,4.01,505,126
2014,0,28475,Jeff Overton,4.01,658,164
2014,0,20645,John Senden,4.01,785,196
2014,0,27214,Kevin Streelman,4.01,509,127
2014,0,2206,David Toms,4.01,793,198
2014,0,27095,Nick Watney,4.01,353,88
2014,0,32366,Kevin Chappell,4.02,803,200
2014,0,32102,Rickie Fowler,4.02,956,238
2014,0,26758,David Hearn,4.02,885,220
2014,0,33461,Morgan Hoffmann,4.02,1048,261
2014,0,33122,Russell Knox,4.02,756,188
2014,0,34261,Scott Langley,4.02,820,204
2014,0,29926,Danny Lee,4.02,724,180
2014,0,27466,Spencer Levin,4.02,671,167
2014,0,24781,Hunter Mahan,4.02,539,134
2014,0,24490,George McNeill,4.02,514,128
2014,0,27770,Camilo Villegas,4.02,700,174
2014,0,24846,Ricky Barnes,4.03,701,174
2014,0,20593,Greg Chalmers,4.03,750,186
2014,0,24924,Bill Haas,4.03,640,159
2014,0,30925,Dustin Johnson,4.03,455,113
2014,0,26300,Matt Jones,4.03,580,144
2014,0,35300,Andrew Loupe,4.03,556,138
2014,0,32839,Hideki Matsuyama,4.03,585,145
2014,0,25345,Carl Pettersson,4.03,702,174
2014,0,25834,Daniel Summerhays,4.03,955,237
2014,0,28132,Tyrone Van Aswegen,4.03,785,195
2014,0,20396,Lee Westwood,4.03,601,149
2014,0,22371,Aaron Baddeley,4.04,469,116
2014,0,32334,Charlie Beljan,4.04,800,198
2014,0,20848,Ángel Cabrera,4.04,803,199
2014,0,23541,Ben Crane,4.04,844,209
2014,0,34099,Harris English,4.04,860,213
2014,0,23353,J.J. Henry,4.04,865,214
2014,0,24024,Zach Johnson,4.04,1005,249
2014,0,30926,Chris Kirk,4.04,618,153
2014,0,31202,William McGirt,4.04,982,243
2014,0,32640,Troy Merritt,4.04,655,162
