YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2014,0,24358,Robert Garrigus,+.130
2014,0,33413,Ben Martin,+.135
2014,0,26596,Ryan Moore,+.135
2014,0,37273,Derek Ernst,+.143
2014,0,25900,Lucas Glover,+.143
2014,0,30925,Dustin Johnson,+.143
2014,0,23623,Bo Van Pelt,+.143
2014,0,6522,Ernie Els,+.145
2014,0,23638,Brendon de Jonge,+.148
2014,0,25396,Kevin Na,+.151
2014,0,32333,Kevin Tway,+.152
2014,0,10423,Mike Weir,+.152
2014,0,27095,Nick Watney,+.154
2014,0,24357,K.J. Choi,+.156
2014,0,25191,Gonzalo Fernandez-Castaño,+.157
2014,0,26331,Charl Schwartzel,+.159
2014,0,29518,Brendan Steele,+.159
2014,0,25349,Tim Wilkinson,+.159
2014,0,34261,Scott Langley,+.161
2014,0,29289,S.Y. Noh,+.162
2014,0,26679,Kevin Stadler,+.163
2014,0,30926,Chris Kirk,+.164
2014,0,34264,Hudson Swafford,+.167
2014,0,25804,Bubba Watson,+.167
2014,0,20645,John Senden,+.170
2014,0,29222,Billy Hurley III,+.175
2014,0,21961,Charles Howell III,+.177
2014,0,28475,Jeff Overton,+.180
2014,0,29479,Scott Brown,+.182
2014,0,33418,Shawn Stefani,+.182
2014,0,33141,Keegan Bradley,+.184
2014,0,29221,Webb Simpson,+.184
2014,0,31560,Brian Stuard,+.186
2014,0,27466,Spencer Levin,+.188
2014,0,19846,Brian Gay,+.190
2014,0,29535,Brice Garnett,+.191
2014,0,12510,Chad Campbell,+.192
2014,0,25274,Steven Bowditch,+.194
2014,0,20229,Stewart Cink,+.195
2014,0,31557,Jim Herman,+.200
2014,0,27649,Brandt Snedeker,+.205
2014,0,32150,Michael Thompson,+.206
2014,0,27895,Jonas Blixt,+.208
2014,0,23108,Matt Kuchar,+.208
2014,0,22371,Aaron Baddeley,+.209
2014,0,34431,Robert Streb,+.209
2014,0,24140,Sean O'Hair,+.211
2014,0,10885,Robert Allenby,+.212
2014,0,33461,Morgan Hoffmann,+.215
2014,0,23800,Bryce Molder,+.216
2014,0,1706,Davis Love III,+.217
2014,0,28132,Tyrone Van Aswegen,+.218
2014,0,24502,Adam Scott,+.219
