YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2023,124,0,24140,Sean O'Hair,"17' 5""",139.167,8,-3
2023,125,0,56630,Akshay Bhatia,"17' 6""",262.583,15,-4
2023,125,0,40115,Adam Svensson,"17' 6""",472.333,27,-4
2023,127,0,27644,Brian Harman,"17' 7""",580.083,33,-12
2023,127,0,46441,Robby Shelton,"17' 7""",317.167,18,-8
2023,129,0,36699,Patrick Rodgers,"17' 8""",707.167,40,-4
2023,130,0,25686,Jason Dufner,"17' 9""",355.167,20,+4
2023,130,0,27129,Luke List,"17' 9""",515.083,29,-3
2023,130,0,52513,Carson Young,"17' 9""",373.333,21,-3
2023,133,0,39324,J.J. Spaun,"17' 10""",410.25,23,-6
2023,134,0,52453,Nicolai Hojgaard,"17' 11""",322.917,18,+1
2023,135,0,27936,Martin Laird,"18' 1""",523.25,29,+2
2023,135,0,32333,Kevin Tway,"18' 1""",362.25,20,+1
2023,135,0,52374,Brandon Wu,"18' 1""",434.75,24,-8
2023,138,0,29420,Billy Horschel,"18' 2""",290.167,16,+3
2023,138,0,46340,Alex Smalley,"18' 2""",400.417,22,+1
2023,140,0,48867,Matti Schmid,"18' 3""",218.667,12,-3
2023,141,0,47995,Davis Riley,"18' 4""",347.917,19,+1
2023,142,0,48084,Wesley Bryan,"18' 5""",129.167,7,-1
2023,142,0,47988,Nick Hardy,"18' 5""",385.917,21,E
2023,144,0,34563,Chesson Hadley,"18' 6""",389.167,21,-6
2023,144,0,51070,Vincent Norrman,"18' 6""",462.417,25,-7
2023,146,0,52375,Doug Ghim,"18' 7""",334.75,18,E
2023,146,0,25632,Jimmy Walker,"18' 7""",279.25,15,+2
2023,148,0,33408,Tyson Alexander,"18' 8""",448.417,24,-1
2023,149,0,47504,Sam Burns,"18' 9""",318.25,17,-5
2023,150,0,49298,Kramer Hickok,"18' 10""",338.75,18,-1
2023,151,0,31323,Gary Woodland,"18' 11""",264.333,14,-4
2023,152,0,48699,Callum Tarren,"19' 0""",493.583,26,+3
2023,153,0,55708,Hayden Buckley,"19' 2""",325.417,17,-2
2023,153,0,35450,Patrick Cantlay,"19' 2""",364.583,19,-4
2023,153,0,26476,Chez Reavie,"19' 2""",153.333,8,-1
2023,153,0,27095,Nick Watney,"19' 2""",267.917,14,+4
2023,157,0,55789,Taylor Montgomery,"19' 4""",463.833,24,-5
2023,157,0,55893,Sam Stevens,"19' 4""",755.083,39,-2
2023,157,0,50493,Justin Suh,"19' 4""",348.333,18,-1
2023,160,0,48117,Kurt Kitayama,"19' 5""",233.083,12,+2
2023,161,0,32662,Michael Gligic,"19' 7""",390.833,20,+2
2023,161,0,27974,Sung Kang,"19' 7""",78.417,4,-1
2023,163,0,33653,Thomas Detry,"19' 11""",377.833,19,+1
2023,163,0,49947,Taylor Moore,"19' 11""",458.25,23,+6
2023,165,0,31577,Tano Goya,"20' 0""",340.5,17,-4
2023,166,0,33597,Harry Higgs,"20' 1""",402.417,20,E
2023,167,0,51349,Nico Echavarria,"20' 3""",303.333,15,-4
2023,167,0,29970,Dylan Frittelli,"20' 3""",425.333,21,+3
2023,169,0,28252,Seamus Power,"20' 6""",184.667,9,E
2023,170,0,31557,Jim Herman,"20' 9""",415.167,20,+5
2023,171,0,29725,Tony Finau,"21' 1""",420.833,20,+2
2023,172,0,39058,Lucas Herbert,"21' 2""",381.083,18,-2
2023,173,0,45609,Tyler Duncan,"21' 3""",551.667,26,-4
2023,173,0,39335,Kevin Roy,"21' 3""",381.917,18,-2
2023,175,0,36801,Mark Hubbard,"21' 6""",366.0,17,+4
2023,176,0,27214,Kevin Streelman,"21' 7""",432.083,20,E
2023,177,0,32448,James Hahn,"21' 9""",673.5,31,-4
2023,178,0,39975,Michael Kim,"22' 0""",637.333,29,+3
2023,179,0,25493,Nick Taylor,"22' 1""",442.167,20,+1
2023,180,0,40098,Matt Fitzpatrick,"22' 4""",312.333,14,-1
2023,181,0,35310,Lanto Griffin,"22' 5""",314.25,14,+3
2023,182,0,33399,Adam Hadwin,"22' 6""",337.333,15,E
2023,183,0,46601,Trey Mullinax,"22' 10""",478.917,21,+11
2023,184,0,19803,Ryan Armour,"23' 0""",299.083,13,+4
2023,184,0,51634,Sahith Theegala,"23' 0""",575.667,25,-2
2023,186,0,33204,Shane Lowry,"24' 6""",342.417,14,-2
2023,187,0,28420,Ryan Brehm,"24' 7""",540.583,22,+2
2023,187,0,39067,MJ Daffue,"24' 7""",738.583,30,-3
2023,189,0,33410,Andrew Landry,"24' 8""",444.583,18,+1
2023,190,0,51491,Brandon Matthews,"25' 3""",227.083,9,-1
2023,191,0,46442,Maverick McNealy,"25' 5""",330.417,13,+3
2023,192,0,34256,Andrew Putnam,"25' 7""",409.583,16,+5
2023,193,0,28089,Jason Day,"30' 10""",339.333,11,+6
2022,1,0,29221,Webb Simpson,"7' 1""",70.833,10,-4
2022,2,0,46340,Alex Smalley,"9' 2""",128.167,14,-4
2022,3,0,33448,Justin Thomas,"9' 10""",217.0,22,-4
2022,4,0,40162,Justin Lower,"10' 3""",143.417,14,-5
2022,5,0,34563,Chesson Hadley,"10' 4""",144.75,14,+1
2022,5,0,34098,Russell Henley,"10' 4""",123.833,12,-2
2022,7,0,34256,Andrew Putnam,"10' 9""",237.167,22,-4
2022,8,0,29289,S.Y. Noh,"10' 10""",183.75,17,-7
2022,9,0,57366,Cameron Young,"11' 1""",397.75,36,-9
2022,10,0,23320,Ryan Palmer,"11' 2""",178.917,16,-2
2022,10,0,34264,Hudson Swafford,"11' 2""",156.333,14,+2
2022,12,0,22056,Cameron Percy,"11' 3""",101.25,9,-2
2022,12,0,34431,Robert Streb,"11' 3""",191.417,17,-5
2022,14,0,47995,Davis Riley,"11' 4""",316.917,28,-9
2022,14,0,46046,Scottie Scheffler,"11' 4""",260.417,23,-6
2022,14,0,24502,Adam Scott,"11' 4""",203.417,18,-2
2022,17,0,46970,Jon Rahm,"11' 5""",216.417,19,-7
