YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2023,158,0,58696,Peter Kuest,9.43%,53,5.0
2023,160,0,49960,Sepp Straka,9.38%,128,12.0
2023,161,0,48081,Xander Schauffele,9.30%,86,8.0
2023,161,0,52374,Brandon Wu,9.30%,129,12.0
2023,163,0,46441,Robby Shelton,9.24%,119,11.0
2023,164,0,56630,Akshay Bhatia,9.20%,87,8.0
2023,165,0,12716,Charley Hoffman,9.18%,98,9.0
2023,166,0,33948,Byeong Hun An,8.87%,124,11.0
2023,166,0,55789,Taylor Montgomery,8.87%,124,11.0
2023,168,0,47995,Davis Riley,8.85%,113,10.0
2023,169,0,32366,Kevin Chappell,8.82%,68,6.0
2023,170,0,48117,Kurt Kitayama,8.70%,92,8.0
2023,170,0,26596,Ryan Moore,8.70%,115,10.0
2023,172,0,30926,Chris Kirk,8.57%,105,9.0
2023,173,0,58967,Trevor Werbylo,7.95%,88,7.0
2023,174,0,46717,Viktor Hovland,7.92%,101,8.0
2023,175,0,51414,Brent Grant,7.84%,102,8.0
2023,176,0,32662,Michael Gligic,7.81%,64,5.0
2023,177,0,32640,Troy Merritt,7.77%,103,8.0
2023,178,0,55708,Hayden Buckley,7.76%,116,9.0
2023,179,0,55182,Tom Kim,7.69%,130,10.0
2023,180,0,31323,Gary Woodland,7.55%,106,8.0
2023,181,0,51997,Andrew Novak,7.53%,93,7.0
2023,182,0,52375,Doug Ghim,7.41%,108,8.0
2023,183,0,46435,Austin Cook,7.35%,68,5.0
2023,184,0,36724,Augusto Núñez,7.23%,83,6.0
2023,185,0,34099,Harris English,7.02%,114,8.0
2023,186,0,49453,Trevor Cone,6.82%,88,6.0
2023,187,0,33410,Andrew Landry,6.52%,92,6.0
2023,187,0,24140,Sean O'Hair,6.52%,46,3.0
2023,189,0,40006,Erik van Rooyen,6.41%,78,5.0
2023,190,0,29970,Dylan Frittelli,6.02%,83,5.0
2023,191,0,36326,David Lipsky,5.88%,102,6.0
2023,192,0,52372,Cameron Champ,4.71%,85,4.0
2023,193,0,48084,Wesley Bryan,4.00%,50,2.0
2022,1,0,27770,Camilo Villegas,25.71,70,18.0
2022,2,0,56278,Matthew Wolff,21.95,41,9.0
2022,3,0,48699,Callum Tarren,21.69,83,18.0
2022,4,0,46601,Trey Mullinax,20.93,86,18.0
2022,5,0,46046,Scottie Scheffler,19.8,101,20.0
2022,6,0,29221,Webb Simpson,19.74,76,15.0
2022,7,0,19803,Ryan Armour,18.97,58,11.0
2022,8,0,24502,Adam Scott,18.63,102,19.0
2022,9,0,33204,Shane Lowry,18.57,70,13.0
2022,10,0,45486,Joaquin Niemann,18.52,81,15.0
2022,11,0,10381,Curtis Thompson,18.37,49,9.0
2022,12,0,37212,Paul Barjon,17.82,101,18.0
2022,13,0,23621,Rory Sabbatini,17.81,73,13.0
2022,14,0,48117,Kurt Kitayama,17.57,74,13.0
2022,14,0,28237,Rory McIlroy,17.57,74,13.0
2022,16,0,48822,Sebastián Muñoz,17.48,103,18.0
2022,17,0,32333,Kevin Tway,17.35,98,17.0
2022,18,0,33490,Bo Hoag,17.31,52,9.0
2022,18,0,23325,Vaughn Taylor,17.31,52,9.0
2022,20,0,39971,Sungjae Im,17.19,128,22.0
2022,21,0,47529,Mito Pereira,17.14,105,18.0
2022,22,0,29478,Kevin Kisner,17.11,76,13.0
2022,23,0,50525,Collin Morikawa,16.92,65,11.0
2022,24,0,35449,Adam Long,16.67,132,22.0
2022,25,0,46435,Austin Cook,16.47,85,14.0
2022,26,0,34431,Robert Streb,16.38,116,19.0
2022,27,0,25198,Francesco Molinari,16.36,55,9.0
2022,28,0,24138,Ian Poulter,16.33,49,8.0
2022,29,0,35310,Lanto Griffin,16.3,92,15.0
2022,29,0,54628,Lee Hodges,16.3,135,22.0
2022,31,0,51950,Max McGreevy,16.25,80,13.0
2022,32,0,32150,Michael Thompson,16.19,105,17.0
2022,33,0,46442,Maverick McNealy,16.16,99,16.0
2022,34,0,26300,Matt Jones,16.13,62,10.0
2022,35,0,36884,Ben Kohles,16.0,75,12.0
2022,36,0,35461,Beau Hossler,15.91,88,14.0
2022,37,0,40115,Adam Svensson,15.87,126,20.0
2022,38,0,34610,Matthias Schwab,15.85,82,13.0
