YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
2022,131,0,35778,Kazuki Higa,$19900,19900,0.0
2022,131,0,45396,Tomoyasu Sugiyama,$19900,19900,0.0
2022,133,0,55412,Mickey DeMorat,$19728,19728,0.0
2022,134,0,50323,Minkyu Kim,$19598,19598,0.0
2022,135,0,48098,Sebastian Garcia Rodriguez,$19573,19573,0.0
2022,136,0,27408,Martin Kaymer,$19439,19439,0.0
2022,137,0,35376,Roberto Díaz,$19342,19342,0.0
2022,138,0,46879,Naoyuki Kataoka,$18109,18109,0.0
2022,138,0,34500,Ryosuke Kinoshita,$18109,18109,0.0
2022,138,0,34126,Scott Vincent,$18109,18109,0.0
2022,141,0,52583,Sanghun Shin,$18038,18038,0.0
2022,142,0,46930,Jaekyeong Lee,$17258,17258,0.0
2022,143,0,57944,Andy Ogletree,$17234,17234,0.0
2022,144,0,49022,Yoseop Seo,$16575,16575,0.0
2022,145,0,47842,Hanbyeol Kim,$16185,16185,0.0
2022,146,0,58605,Quade Cummins,$15680,15680,0.0
2022,146,0,50493,Justin Suh,$15680,15680,0.0
2022,148,0,52091,Blake Kennedy,$15678,15678,0.0
2022,149,0,34607,Francesco Laporta,$15355,15355,0.0
2022,150,0,58944,Blake McShea,$14016,14016,0.0
2022,151,0,32344,Lukas Nemecz,$13505,13505,0.0
2022,152,0,26503,Alfredo Garcia-Heredia,$10348,10348,0.0
2022,152,0,33936,Gunner Wiebe,$10348,10348,0.0
2022,154,0,47846,Pep Angles,$10064,10064,0.0
2022,155,0,28125,Josh Geary,$9195,9195,0.0
2022,155,0,35104,Tom Lewis,$9195,9195,0.0
2022,157,0,29772,Michael Lorenzo-Vera,$9109,9109,0.0
2022,158,0,33196,Carlos Pigem,$8584,8584,0.0
2022,159,0,48929,Santiago Tarrio,$8251,8251,0.0
2022,160,0,27140,Justin Walters,$7955,7955,0.0
2022,161,0,58967,Trevor Werbylo,$7807,7807,0.0
2022,162,0,52462,Chase Hanna,$7548,7548,0.0
2022,163,0,22986,Søren Kjeldsen,$7215,7215,0.0
2022,164,0,60004,Jacob Bridgeman,$6919,6919,0.0
2022,165,0,23481,Marcel Siem,$6697,6697,0.0
2024,1,0,47959,Bryson DeChambeau,$6993000,6993000,0.0
2024,2,0,45523,Thriston Lawrence,$896350,896350,0.0
2024,3,0,35891,Cameron Smith,$831096,831096,0.0
2024,4,0,37250,Romain Langasque,$590850,590850,0.0
2024,5,0,33974,Dean Burmester,$576727,576727,0.0
2024,6,0,46970,Jon Rahm,$509033,509033,0.0
2024,7,0,34360,Patrick Reed,$437587,437587,0.0
2024,8,0,63807,Neal Shipley,$410268,410268,0.0
2024,9,0,21209,Sergio Garcia,$409279,409279,0.0
2024,10,0,55955,Matthew Jordan,$390883,390883,0.0
2024,11,0,36689,Brooks Koepka,$381643,381643,0.0
2024,12,0,51680,Alistair Docherty,$356000,356000,0.0
2024,13,0,57259,Daniel Brown,$341293,341293,0.0
2024,14,0,58696,Peter Kuest,$336100,336100,0.0
2024,15,0,47888,Taiga Semikawa,$323459,323459,0.0
2024,16,0,45486,Joaquin Niemann,$284498,284498,0.0
2024,17,0,54218,Yuta Sugiura,$266050,266050,0.0
2024,18,0,54190,Richard Mansell,$228568,228568,0.0
2024,19,0,39113,Shubhankar Sharma,$221817,221817,0.0
2024,20,0,33199,Matteo Manassero,$221020,221020,0.0
2024,21,0,49813,Daniel Hillier,$207736,207736,0.0
2024,22,0,45734,John Catlin,$202700,202700,0.0
